,tconst,startYear,runtimeMinutes,directors,writers,nconst,title,distributor,domestic_revenue,opening_revenue,opening_theaters,budget,mpaa,genres,release_date
2468,tt1473832,2016,123,nm0536632,"nm0276144,nm0563243,nm0000668","nm0271479,nm0000250,nm0428121,nm0000980,nm0680766,nm0536632,nm0276144,nm0563243,nm0000668,nm0079677",Bridget Jones's Baby,Universal Pictures,"$24,252,420","$8,571,785","2,927","$35,000,000",R,"Comedy,Drama,Romance","Sep 16, 2016"
2469,tt1477076,2010,90,nm0340436,"nm1733317,nm1729303","nm0467977,nm0068551,nm0541908,nm0751018,nm0000144,nm0340436,nm1733317,nm1729303,nm0121117,nm0388898",Saw: The Final Chapter,Lionsgate,"$45,710,178","$22,530,123","2,808","$20,000,000",R,"Crime,Horror,Mystery","Oct 29, 2010"
2470,tt1478338,2011,125,nm0082450,"nm1325419,nm1754239","nm0028787,nm1325419,nm0748973,nm0126284,nm0187719,nm0082450,nm1754239,nm0031976,nm0578814,nm0870106",Bridesmaids,Universal Pictures,"$169,106,725","$26,247,410","2,918","$32,500,000",R,"Comedy,Romance","May 13, 2011"
2471,tt1478839,2019,109,nm0193508,"nm0093560,nm0825464","nm0605775,nm0000126,nm0893257,nm4467076,nm0393125,nm0193508,nm0093560,nm0825464,nm0001131,nm1815091",The Art of Racing in the Rain,Twentieth Century Fox,"$26,395,642","$8,137,584","2,765","$18,000,000",PG,"Comedy,Drama,Romance,Sport","Aug 9, 2019"
2472,tt1478964,2011,88,nm0180428,nm0180428,"nm1633672,nm3915784,nm2092886,nm3906429,nm3915728,nm0180428,nm0661912,nm1034914,nm1888527,nm1082643",Attack the Block,Screen Gems,"$1,024,175","$139,506",8,"$13,000,000",R,"Action,Adventure,Comedy,Sci-Fi,Thriller","Jul 29, 2011"
2473,tt1482459,2012,86,"nm0049633,nm0719208","nm0317450,nm0666791,nm0202425","nm0372329,nm1374980,nm2357847,nm0000362,nm1159180,nm0719208,nm0049633,nm0317450,nm0666791,nm0202425",The Lorax,Universal Pictures,"$214,030,500","$70,217,070","3,729","$70,000,000",PG,"Adventure,Animation,Comedy,Drama,Family,Fantasy,Musical","Mar 2, 2012"
2474,tt1483013,2013,124,nm2676052,"nm2244980,nm1578335,nm2676052","nm0376416,nm0000129,nm0000151,nm2057859,nm1385871,nm2676052,nm2244980,nm1578335,nm1858656,nm1249995",Oblivion,Universal Pictures,"$89,107,235","$37,054,485","3,783","$120,000,000",PG-13,"Action,Adventure,Sci-Fi","Apr 19, 2013"
2475,tt1485796,2017,105,nm1243905,"nm0081081,nm0174374","nm0867768,nm0413168,nm0931329,nm1374980,nm3918035,nm1243905,nm0081081,nm0174374,nm1858656,nm0548257",The Greatest Showman,Twentieth Century Fox,"$174,340,174","$8,805,843","3,006","$84,000,000",PG,"Biography,Drama,Musical","Dec 20, 2017"
2476,tt1486185,2011,100,nm0362566,nm0424901,"nm0373588,nm1086543,nm0001305,nm0000198,nm0121605,nm0362566,nm0424901,nm2248832,nm0000138,nm0798930",Red Riding Hood,Warner Bros.,"$37,662,162","$14,005,335","3,030","$42,000,000",PG-13,"Fantasy,Horror,Mystery,Romance,Thriller","Mar 11, 2011"
2477,tt1486192,2012,110,nm0574625,"nm1110844,nm0515226","nm0753083,nm0000131,nm1404408,nm1812656,nm0322407,nm0574625,nm1110844,nm0515226,nm2162955,nm1006167",The Raven,Relativity Media,"$16,008,272","$7,289,642","2,203","$26,000,000",R,"Crime,Mystery,Thriller","Apr 27, 2012"
2478,tt1486193,2011,113,nm0001317,"nm1209140,nm3649361","nm4096030,nm1670029,nm0004825,nm0185404,nm0001287,nm0001317,nm1209140,nm3649361,nm3567755,nm0489487",5 Days of War,Anchor Bay Films,"$17,479","$6,254",2,"$12,000,000",R,"Action,Drama,War","Aug 19, 2011"
2479,tt1488555,2011,112,nm0229694,"nm0524190,nm0601859","nm0004090,nm0000867,nm0005351,nm1312575,nm0005182,nm0229694,nm0524190,nm0601859,nm0605775,nm0002201",The Change-Up,Universal Pictures,"$37,081,475","$13,531,115","2,913","$52,000,000",R,"Comedy,Fantasy","Aug 5, 2011"
2480,tt1489167,2009,93,nm1296554,"nm1296554,nm0384628","nm0384628,nm2703386,nm0212626,nm0769442,nm1296554,nm0823288,nm1546919,nm1124802",Down Terrace,Magnolia Pictures,"$9,812","$3,088",2,"$30,000",R,"Crime,Drama","Oct 15, 2010"
2481,tt1489889,2016,107,nm1098493,"nm0054697,nm2811682,nm1098493","nm0835959,nm0425005,nm0366389,nm0630379,nm0752407,nm1098493,nm0054697,nm2811682,nm0288202,nm1213782",Central Intelligence,Warner Bros.,"$127,440,871","$35,535,250","3,508","$50,000,000",PG-13,"Action,Comedy,Crime","Jun 17, 2016"
2482,tt1489887,2019,102,nm1312575,"nm1054604,nm2873539,nm2573005,nm4199289","nm2273482,nm3239803,nm2788156,nm1790970,nm0837177,nm1312575,nm1054604,nm2873539,nm2573005,nm4199289",Booksmart,United Artists Releasing,"$22,680,962","$6,933,620","2,505","$6,000,000",R,Comedy,"May 24, 2019"
2483,tt1490017,2014,100,"nm0588087,nm0520488","nm0520488,nm0588087,nm1087952,nm1156984,nm9204083,nm9204084,nm9204085,nm0481990,nm0247653","nm9204084,nm0695435,nm0002071,nm0006969,nm0004715,nm0588087,nm0520488,nm1087952,nm1156984,nm9204083",The Lego Movie,Warner Bros.,"$257,760,692","$69,050,279","3,775","$60,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi","Feb 7, 2014"
2484,tt1496025,2012,88,"nm0825407,nm0617523","nm0936482,nm0387198,nm0833089,nm0122335,nm0340485,nm0564286","nm0122335,nm0000295,nm1013003,nm2086223,nm0001653,nm0617523,nm0825407,nm0936482,nm0387198,nm0833089",Underworld: Awakening,Screen Gems,"$62,321,039","$25,306,725","3,078","$70,000,000",R,"Action,Fantasy,Horror,Sci-Fi","Jan 20, 2012"
2485,tt1498569,2011,91,nm0001814,nm2381911,"nm2833364,nm1985859,nm1375330,nm1076976,nm0004922,nm0001814,nm2381911,nm0004976,nm0397171,nm0000165",Restless,Sony Pictures Classics,"$163,265","$15,467",5,"$8,000,000",PG-13,"Drama,Romance","Sep 16, 2011"
2486,tt1499658,2011,98,nm1164861,"nm0002864,nm0197855,nm0326246","nm0827731,nm0000867,nm0206359,nm0837177,nm2528248,nm1164861,nm0002864,nm0197855,nm0326246,nm0711840",Horrible Bosses,Warner Bros.,"$117,538,559","$28,302,165","3,040","$35,000,000",R,"Comedy,Crime","Jul 8, 2011"
2487,tt1502397,2020,124,"nm4816401,nm4263190","nm0185976,nm0138620,nm6200158,nm0303032","nm0303032,nm0000226,nm0001454,nm1227814,nm1573253,nm4816401,nm4263190,nm0185976,nm0138620,nm6200158",Bad Boys for Life,Sony Pictures Entertainment (SPE),"$206,305,244","$62,504,105","3,775","$90,000,000",R,"Action,Comedy,Crime,Thriller","Jan 17, 2020"
2488,tt1502407,2018,106,nm0337773,"nm0000118,nm0384185,nm2171769,nm1144419,nm0337773","nm0015443,nm0000130,nm0339460,nm5506858,nm0183921,nm0337773,nm0000118,nm0384185,nm2171769,nm1144419",Halloween,Universal Pictures,"$159,342,015","$76,221,545","3,928","$10,000,000",R,"Crime,Horror,Thriller","Oct 19, 2018"
2489,tt1502712,2015,100,"nm2503633,nm0729701","nm2916300,nm1334526,nm2503633,nm0498278,nm0456158","nm0456158,nm1886602,nm0544718,nm0430107,nm0068260,nm2503633,nm0729701,nm2916300,nm1334526,nm0498278",Fantastic Four,Twentieth Century Fox,"$56,117,548","$25,685,737","3,995","$120,000,000",PG-13,"Action,Adventure,Sci-Fi","Aug 7, 2015"
2490,tt1504320,2010,118,nm0393799,nm0782436,"nm0006035,nm0000147,nm0001691,nm0000307,nm0001394,nm0393799,nm0782436,nm2096617,nm0792431,nm1060902",The King's Speech,The Weinstein Company,"$135,453,143","$355,450",4,"$15,000,000",R,"Biography,Drama,History","Nov 26, 2010"
2491,tt1506999,2011,93,nm0001752,nm0229644,"nm2442289,nm0000191,nm1055413,nm0029400,nm0001752,nm0229644,nm0414423,nm0391794,nm0191896",Haywire,Relativity Media,"$18,942,396","$8,425,370","2,439","$23,000,000",R,"Action,Drama,Thriller","Jan 20, 2012"
2492,tt1509767,2011,110,nm0027271,"nm0514821,nm0203577,nm0241416","nm0474709,nm0503567,nm0532193,nm0829032,nm0000170,nm0027271,nm0514821,nm0203577,nm0241416,nm0093337",The Three Musketeers,Summit Entertainment,"$20,374,484","$8,674,452","3,017","$75,000,000",PG-13,"Action,Adventure,Fantasy,History,Romance,Thriller","Oct 21, 2011"
2493,tt1512235,2010,96,nm0348181,nm0348181,"nm0798889,nm0933988,nm0680983,nm0000239,nm0000102,nm0348181,nm0047419,nm0394046,nm0061045,nm0003205",Super,IFC Films,"$327,716","$46,549",11,"$2,500,000",R,"Action,Comedy,Drama","Apr 1, 2011"
2494,tt1517260,2013,125,nm0629272,"nm0629272,nm2769412","nm0684620,nm1519680,nm1796057,nm1831976,nm1208167,nm0629272,nm2769412,nm2445382,nm0777455,nm0917059",The Host,Open Road Films (II),"$26,627,201","$10,600,112","3,202","$40,000,000",PG-13,"Action,Adventure,Drama,Romance,Sci-Fi,Thriller","Mar 29, 2013"
2495,tt1517451,2018,136,nm0177896,"nm0744839,nm0177896,nm3391497,nm0366454,nm0242869,nm0225820,nm0682757,nm0920074,nm0308604","nm0682757,nm3078932,nm0177896,nm0000385,nm0342399,nm0744839,nm3391497,nm0366454,nm0242869,nm0225820",A Star Is Born,Warner Bros.,"$215,288,866","$42,908,051","3,686","$36,000,000",R,"Drama,Music,Romance","Oct 5, 2018"
