,tconst,directors,actors,distributor,mpaa,release_year,budget,opening_revenue,domestic_revenue,opening_theaters,runtime_minutes,release_month,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news
10,tt0078723,nm0000229,"nm0002354,nm0000004,nm0000101,nm0001852,nm0000262,nm0270809",Universal Pictures,PG,1979,119365971.31681877,9214705.119113429,108301571.10617992,325,118,12,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,tt0081747,nm0326360,"nm0000740,nm0000056,nm0000302,nm0000034,nm0001902",Warner Bros.,PG,1980,65313857.677902624,4575216.136179776,12292028.826666668,677,121,3,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,tt0080684,nm0449984,"nm0564768,nm0000434,nm0000148,nm0000402,nm0001850,nm0476030",Twentieth Century Fox,PG,1980,57560831.29584352,15702860.196894865,669618021.7059902,126,124,5,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,tt0081505,nm0000040,"nm0005633,nm0000197,nm0001167,nm0515950,nm0001079,nm0137793,nm0253844",Warner Bros.,R,1980,60758655.25672372,1990124.1703422982,140759813.27222493,10,146,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt0080934,nm0006916,"nm0005684,nm0000323,nm0001831,nm0700574,nm0585460,nm0113360,nm0005573,nm0001553",Universal Pictures,R,1980,69586505.44135429,9878965.276831921,49712688.05194679,584,109,6,4,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,tt0081554,nm0000095,"nm0000095,nm0001648,nm0363888,nm0056763,nm0339086,nm0932336,nm0607673,nm0100080",United Artists,PG,1980,31140714.285714287,1017613.1473571429,32352097.413642857,29,89,9,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,tt0082971,nm0000229,"nm0002354,nm0000148,nm0000261,nm0293550,nm0722636,nm0550881",Paramount Pictures,PG,1981,51969933.77483445,23980726.18086093,612731365.8228477,1078,115,6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,tt0081573,"nm0001149,nm0504513","nm0000432,nm0001659,nm0452288,nm0000885",Warner Bros.,PG,1980,170803240.6287787,44600278.2029746,342193873.6020798,1397,127,6,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,tt0082979,nm0000886,"nm0843129,nm0000886,nm0000473,nm0001346,nm0467085,nm0814227,nm0005886,nm0020441,nm0570947",Paramount Pictures,PG,1981,89049191.4893617,6470061.0199787235,112376347.94189362,396,195,12,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
19,tt0084726,nm0583292,"nm0758591,nm0000638,nm0000559,nm0001420,nm0001150",Paramount Pictures,PG,1982,30203282.474226803,38690461.480639175,212806295.74707216,1621,113,6,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,tt0083866,nm0000229,"nm0514746,nm0001794,nm0000106,nm0001075,nm0908914,nm0005086,nm0002354,nm0005679",Universal Pictures,PG,1982,28315577.31958763,31916749.746371135,968654426.108598,1103,115,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,tt0084827,nm0513974,"nm0517521,nm0000313,nm0000310,nm0001831,nm0604563,nm0476291,nm0137793",Walt Disney Studios Motion Pictures,PG,1982,45609169.230769224,12775383.176307691,88535446.15384614,1091,96,7,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,tt0084132,nm0950109,"nm0411016,nm0000059,nm0000302,nm0001262,nm0001536,nm0065639",Metro-Goldwyn-Mayer (MGM),PG,1981,129106995.7081545,6528637.65218884,14597471.24304721,1291,140,9,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23,tt0084268,nm0000797,"nm0006108,nm0000685,nm0000268,nm0949350,nm0719037,nm0105931,nm0769812,nm0853867",Paramount Pictures,R,1982,45284052.95315682,1407958.455580448,2521152.355417515,303,105,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,tt0083944,nm0467646,"nm0000025,nm0000230,nm0001133,nm0001077,nm0571853,nm0270809",Orion Pictures,R,1982,39956517.311608955,17692759.18441955,125764214.4004888,901,93,10,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,tt0084805,nm0001628,"nm0000163,nm0001448,nm0000414,nm0001056",Columbia Pictures,PG,1982,56283012.295081966,14849254.33954918,474921418.0327869,943,116,12,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,tt0085208,nm0000626,"nm0006825,nm0000275,nm0001759,nm0581008,nm0203352,nm0001162,nm0000841,nm0689806",Paramount Pictures,R,1983,8015791.62410623,33185.37732379979,4990610.489724208,1,105,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,tt0086264,nm0956205,"nm0502249,nm0445420,nm0222055,nm0817435,nm0222272,nm0809306,nm0565527",New World Pictures,R,1983,2122369.1683569984,557121.906693712,5524036.147363083,75,82,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,tt0086525,nm0004838,"nm0005695,nm0000115,nm0286033,nm0197354,nm0100889,nm0506108,nm0929025",Atlantic Releasing Corporation,R,1983,928536.5111561867,4925965.780527384,46011891.7735497,442,99,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,tt0086346,nm0425593,"nm0005471,nm0000208,nm0001368,nm0546004",Columbia Pictures,PG,1983,37971580.645161286,18598205.96080645,43451789.468044356,1338,90,5,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,tt0086190,nm0549658,"nm0002354,nm0000434,nm0000148,nm0000402,nm0001850,nm0443599,nm0564768",Twentieth Century Fox,PG,1983,85699747.98387097,60700783.42415322,666041609.9001411,1002,131,5,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,tt0086200,nm0001887,"nm0897794,nm0000129,nm0000360,nm0001592,nm0557956,nm0000816,nm0005494,nm1725839,nm0839732",Warner Bros.,R,1983,16185712.574850298,11161163.546047904,165882086.93826345,670,99,8,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,tt0086216,nm0000338,"nm0005664,nm0000369,nm0000620,nm0000178,nm0000454,nm0165602,nm0740407,nm0004841",Universal Pictures,R,1983,25899207.920792077,49169.64623762376,6460505.617425743,1,94,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,tt0086220,nm0790519,"nm0698832,nm0000913,nm0385757,nm0188678,nm0566841,nm0257475,nm0006236",Walt Disney Studios Motion Pictures,PG,1983,20678418.972332016,1140272.6421936757,7754407.114624506,234,106,11,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
34,tt0086425,nm0000985,"nm0686895,nm0000511,nm0000700,nm0000197,nm0000362,nm0330759,nm0005647,nm0548943",Paramount Pictures,PG,1983,20678418.972332016,9043740.139980236,280253291.49800396,260,132,11,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,tt0087277,nm0006889,"nm0386532,nm0000102,nm0001742,nm0001475,nm0001848,nm0705135,nm0951722,nm0005923",Paramount Pictures,PG,1984,20946996.093749996,21858790.73408203,204451372.32386717,1384,107,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
36,tt0086232,"nm0347086,nm0572132","nm0001553,nm0000222,nm0933727,nm0001976,nm0722636,nm0322946",Metro-Goldwyn-Mayer (MGM),PG,1983,66798263.53421858,1471827.5948518894,3748617.016179775,344,111,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,tt0087469,nm0000229,"nm0002354,nm0000148,nm0001009,nm0702841,nm0700869,nm0915226",Paramount Pictures,PG,1984,70834584.13926499,64097987.50502901,455036994.4750676,1687,118,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,tt0087332,nm0718645,"nm0434922,nm0000195,nm0000101,nm0000244,nm0000601,nm0000930,nm0004088,nm0088340",Columbia Pictures,PG,1984,75674638.37994213,34250722.22644166,578262676.4570684,1339,105,6,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,tt0088247,nm0000116,"nm0325358,nm0000216,nm0000157,nm0000299,nm0934902,nm0006075,nm0004229",Orion Pictures,R,1984,15898621.082621083,9987968.365299145,95320182.7008547,1005,107,10,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,tt0087089,nm0000338,"nm0000290,nm0000152,nm0002138,nm0000178,nm0571188,nm0263172",Orion Pictures,R,1984,144081253.56125355,7213013.104900285,64411079.74,808,129,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,tt0087182,nm0000186,"nm0316626,nm0001492,nm0000515,nm0000768,nm0162361,nm0209581,nm3058674,nm0005711",Universal Pictures,PG-13,1984,99366381.76638177,14967287.312079772,76824347.97321936,915,137,12,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,tt0088885,nm0783676,"nm0257077,nm0001682,nm0123201,nm0861898",The Samuel Goldwyn Company,G,1985,4916954.887218044,9157830.93592105,56384250.86469924,1003,77,3,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
43,tt0087075,nm0001403,"nm0006070,nm0666395,nm0001450,nm0001831,nm0189561,nm0113244,nm0941262",Cannon Film Distributors,R,1984,5074335.596508244,5670001.703511154,11136476.880581958,995,95,4,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,tt0088763,nm0000709,"nm0004637,nm0000150,nm0000502,nm0000670,nm0000417,nm0134635,nm0006293,nm0005678",Universal Pictures,PG,1985,46104434.13729128,27062089.56400742,511054942.1473469,1420,116,7,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,tt0088993,nm0001681,"nm0026533,nm0136440,nm0018777,nm0683334,nm0175826,nm0748283,nm0365666,nm0331193,nm0117779",United Film Distribution Company,UNRATED,1985,8492922.077922078,4125133.5807050094,12132745.82560297,168,101,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,tt0089885,nm0002340,"nm0051659,nm0001062,nm0007940,nm0186225,nm0301834,nm0951206",Empire Pictures,UNRATED,1985,2165812.3275069,1308458.6724563017,4869261.094277829,129,104,10,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,tt0089961,nm0844358,"nm0000049,nm0001545,nm0001475,nm0399663,nm0580565,nm0007163,nm0818201",TriStar Pictures,PG,1985,119991743.11926606,13552251.44146789,56917581.78313762,970,107,11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,tt0089913,nm0399853,"nm0000829,nm0000199,nm0000661,nm0000176,nm0687506,nm0005563,nm0179858,nm0005781",Warner Bros.,PG,1985,67010942.36047575,126255.79515096065,858156.4873559012,4,126,12,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
49,tt0090966,nm0005196,"nm0357041,nm0000560,nm0000541,nm0000377,nm0005153,nm0814047,nm0005791",Walt Disney Studios Motion Pictures,R,1986,33413759.12408759,13667408.896806568,148295573.39370438,806,103,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,tt0091867,nm0412465,"nm0682503,nm0001749,nm0000307,nm0001186,nm0001696,nm0580337,nm0006442",Cinecom Pictures,UNRATED,1985,7375432.330827067,105640.77575187969,51546021.342180446,1,117,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,tt0091149,"nm0615780,nm0166256,nm0560329,nm0585150","nm0001637,nm0408813,nm0079353,nm0689527",Walt Disney Studios Motion Pictures,G,1986,33444273.972602736,7692720.5109589035,60526477.15167122,1138,74,7,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
52,tt0091757,nm0000591,"nm0005879,nm0000527,nm0133049,nm0858669,nm0414570,nm0069893,nm0006271",Cannon Film Distributors,PG-13,1986,95555068.49315068,2473555.225150685,3922117.508219178,1108,121,7,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
53,tt0091225,nm0404754,"nm0459660,nm0000670,nm0000470,nm0000209,nm0301839,nm0000290",Universal Pictures,PG,1986,88227292.61622606,12089847.904758431,38857622.192051046,1554,110,8,4,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
54,tt0092076,nm0001361,"nm0465629,nm0000454,nm0930226,nm0796842,nm0608405,nm0322946,nm0324875,nm0483187",Cannon Film Distributors,UNRATED,1986,11207250.683682771,6730166.257958068,19137863.714712854,1474,101,8,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,tt0091934,nm0323795,"nm0004383,nm0000576,nm0000187,nm0293550,nm0341743,nm0365600",Metro-Goldwyn-Mayer (MGM),PG-13,1986,40536864.17502279,1740426.4181403827,5521795.720200547,401,97,8,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
56,tt0090756,nm0000186,"nm0635876,nm0000618,nm0001492,nm0000454,nm0000368,nm0142301,nm0000823,nm0005695,nm0242271",De Laurentiis Entertainment Group (DEG),R,1986,14242214.156079855,1873822.0057894737,20298070.07891107,98,120,9,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,tt0091954,nm0007182,"nm0552150,nm0000198,nm0916050,nm0371342,nm0084033,nm0271479,nm0004402,nm0005683",The Samuel Goldwyn Company,R,1986,9486201.269265639,120543.53107887579,6703241.51755213,2,112,10,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
58,tt0091963,nm0673830,"nm0941225,nm0569372,nm0652346,nm0479951,nm0027215,nm0379035,nm0434064,nm0914239",Galaxy International,PG,1986,42687905.71169537,3482621.6409791475,5443893.753399818,1335,105,10,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59,tt0091763,nm0000231,"nm0747941,nm0000221,nm0000297,nm0000353,nm0202966,nm0465745,nm0000016,nm0724744,nm0800943",Orion Pictures,R,1986,14203547.511312217,570698.5390045248,327937576.95773757,6,120,12,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,tt0092563,nm0000570,"nm0785029,nm0000620,nm0000134,nm0000956,nm0001648,nm0440990,nm0550728,nm0002303",TriStar Pictures,NC-17,1987,39668991.971454054,8607520.219643176,40102158.69602141,815,113,3,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,tt0093200,nm0870186,"nm0308225,nm0870186,nm0424830,nm0552385,nm0210915,nm0363795,nm0750725,nm0005687",The Samuel Goldwyn Company,R,1987,233347.01159678856,223236.08558429973,12200821.517341658,15,78,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,tt0093278,nm0561938,"nm0745450,nm0000886,nm0000163,nm0000254,nm0001301,nm0006115,nm0005886,nm0162758,nm0722000",Columbia Pictures,PG-13,1987,127206100.79575597,10018791.816923076,33247467.695331566,1139,107,5,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
63,tt0093773,nm0001532,"nm0005428,nm0000216,nm0001835,nm0001310,nm0001990,nm0204862,nm0330383",Twentieth Century Fox,R,1987,34570308.37004405,27729162.390449338,137671754.33423787,1623,107,6,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,tt0093058,nm0000040,"nm0402950,nm0000546,nm0000388,nm0000352,nm0000284,nm0473588,nm0005801",Warner Bros.,R,1987,69140616.7400881,5110199.116070484,106839943.64257267,215,116,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,tt0089715,nm0000265,"nm0011750,nm0420822,nm0058105,nm0004852,nm0233209,nm0628226",Metro-Goldwyn-Mayer (MGM),R,1985,16985844.155844156,15221.742912801485,72347.5633580705,18,109,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
66,tt0093870,nm0000682,"nm0005911,nm0000693,nm0000262,nm0641397,nm0001074,nm0772829,nm0006231",Orion Pictures,R,1987,29881950.79086116,18408938.986133568,122802591.4353427,1580,102,7,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,tt0094074,nm0002089,"nm0322946,nm0001659,nm0000432,nm0452288,nm0178114",Warner Bros.,PG,1987,39076397.188049205,13063290.149420034,36044574.46080843,1511,90,7,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,tt0092890,nm0001915,"nm0291054,nm0000664,nm0000426,nm0001583,nm0722407,nm0331988,nm0606657,nm0005749",Vestron Pictures,PG-13,1987,13719335.664335664,8917568.181818182,145073701.89094406,975,100,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
69,tt0093605,nm0000941,"nm0808483,nm0664499,nm0942486,nm0000448,nm0000200,nm0415498,nm1725839,nm0004229",De Laurentiis Entertainment Group (DEG),R,1987,11343538.594969645,1442419.411951431,7643972.798560278,262,94,10,4,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,tt0093894,nm0001274,"nm0266536,nm0000216,nm0000744,nm0001433,nm0000987,nm0511707,nm0957030",TriStar Pictures,R,1987,61202027.72963604,18400196.96386482,86412967.67859618,1692,101,11,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,tt0094137,nm0000559,"nm0276059,nm0000633,nm0000430,nm0001101,nm0001802,nm0181202",Walt Disney Studios Motion Pictures,PG,1987,24934159.44540728,23538735.079237435,380316109.86759096,1006,102,11,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,tt0094317,nm0705535,"nm0005683,nm0587234,nm0000722,nm0000627,nm0001097,nm0675294,nm0006070",Columbia Pictures,R,1987,12301549.24578527,56953.851960958295,7212772.011375332,1,107,4,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
73,tt0096193,nm0001175,"nm0673678,nm0000246,nm0001258,nm0000532,nm0000446,nm0011407,nm0000049,nm0725072",TriStar Pictures,R,1988,35741349.27412468,4538432.063159693,10263244.603450043,1023,102,4,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74,tt0095904,nm0001317,"nm0013972,nm0809031,nm0001557,nm0001210,nm0453299,nm0051659,nm0006306",New World Pictures,R,1987,9251352.785145888,147540.57421750663,799557.4158090185,42,102,5,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,tt0095956,nm0003423,"nm0822285,nm0000230,nm0001077,nm0209030,nm0001748,nm0270809,nm0000025",TriStar Pictures,R,1988,140252476.59574467,29017208.88949787,119583293.24767658,2562,102,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,tt0094980,nm0790715,"nm0822571,nm0675128,nm0878911,nm0005430,nm0004840,nm0206760,nm0267512,nm0956721,nm0149536",New Line Cinema,R,1988,1108398.3050847456,99773.58183050847,828512.2154745762,21,93,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
77,tt0096438,nm0000709,"nm0001364,nm0000502,nm0001026,nm0281486",Walt Disney Studios Motion Pictures,PG,1988,155175762.71186438,24886288.56015254,346823083.46898305,1045,104,6,4,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
78,tt0095016,nm0001532,"nm0005428,nm0000246,nm0000614,nm0000889,nm0001817,nm0330383",Twentieth Century Fox,R,1988,61808405.06329114,1328551.799848101,183237312.4376709,21,132,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,tt0096294,nm0001676,"nm0493339,nm0000622,nm0000198,nm0000502,nm0131974,nm0564768,nm0004368,nm0004287",Island Pictures,R,1988,10917445.742904842,42150.07452420701,936777.9824373956,2,91,9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,tt0095271,nm0514546,"nm0293551,nm0000587,nm0332081,nm0364583,nm0928111",Galaxy International,R,1988,10881114.808652246,14866323.10732113,38668776.98480865,1679,88,10,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,tt0095488,nm0001692,"nm0863194,nm0000372,nm0000424,nm0005289,nm0134922,nm0822315,nm0124117,nm0203896",Vestron Pictures,R,1988,5440557.404326123,48214.2197171381,2588214.6117304494,2,93,10,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,tt0096320,nm0718645,"nm0000016,nm0000216,nm0000362,nm0000593,nm0916050",Universal Pictures,PG,1988,32562074.688796677,24258702.22705394,242996410.0399668,1396,107,12,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,tt0095953,nm0001469,"nm0005868,nm0000163,nm0000129,nm0000420,nm0596520,nm0425741,nm0001877",Metro-Goldwyn-Mayer (MGM),R,1988,54270124.481327794,15208049.688448131,375170314.83958507,1248,133,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,tt0098068,nm0000837,"nm0896485,nm0001642,nm0002148,nm0006800,nm0535077,nm0657499,nm0253486,nm0005680",Vestron Pictures,R,1989,6480148.637489678,600390.0913625103,1880392.2512303882,94,81,1,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
85,tt0096764,nm0000416,"nm0004383,nm0627453,nm0001385,nm0001631,nm0001657,nm0778285",Columbia Pictures,PG,1988,104700160.1716738,1341365.5519313302,18149351.764686693,46,126,3,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,tt0097576,nm0000229,"nm0915226,nm0000148,nm0000125,nm0233145,nm0001186",Paramount Pictures,PG-13,1989,101421130.85621971,62025404.71100162,416612240.36423266,2327,127,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,tt0096895,nm0000318,"nm0005307,nm0000474,nm0000197,nm0000107,nm0943237,nm0345542",Warner Bros.,PG-13,1989,73774133.76309428,85345598.21250604,529464150.82810634,2194,126,6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,tt0097240,nm0001814,"nm0917059,nm0000369,nm0001488,nm0001457,nm0001287,nm0614420",Avenue Pictures Productions,R,1989,5206648.089171975,53743.02157643312,9849628.621528663,1,101,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,tt0097474,nm0652860,"nm0859390,nm0000587,nm0364583,nm0332081,nm0823462",Galaxy International,R,1989,10413296.17834395,10607874.865414012,24246847.81710191,1483,96,10,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,tt0097662,nm0001093,"nm0829933,nm0000174,nm0000695,nm0612319,nm0227313,nm0326512,nm0797451,nm0648239",Interstar,R,1989,8330636.942675159,137482.58412420383,590837.9292038217,221,94,10,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
