,director,sum_power,wciar_power
291,nm0006854,19563633.641045377,180442.67146408954
292,nm0006889,21858790.73408203,5674.866522997228
293,nm0006904,60482764.76703662,6993005.532016019
294,nm0006916,9878965.276831921,1050.511777228168
295,nm0006959,20367.497095352755,395.5399355687965
296,nm0006960,33425175.46433681,3723568.0808439776
297,nm0006969,90089827.4794711,26310496.862204004
298,nm0007082,32084691.861061126,538883.7434730912
299,nm0007128,7337207.140095125,54139.03293165173
300,nm0007181,1154535.2974869108,25997.823677740707
301,nm0007182,120543.53107887579,48.898265448245574
302,nm0007198,80981.30462232242,933.6508757019349
303,nm0007439,7631102.922521589,70384.50130594647
304,nm0009053,5333755.870756097,31484.93743983478
305,nm0009190,728335549.3197104,213572186.37313056
306,nm0009463,11252577.963120533,4585000.772189269
307,nm0009942,13008845.46195056,893961.0530847311
308,nm0011470,365376661.7228227,10190010.997888643
309,nm0970447,359166615.8549408,49511760.85434388
310,nm0038432,189433523.640657,9526335.890858855
311,nm0011950,868657.0480138169,8011.947126267465
312,nm0014960,44915645.475209445,9597240.695369916
313,nm0015328,30834196.627764083,3665677.4499625317
314,nm0018735,5097546.813236151,47016.57073376055
315,nm0438989,5097546.813236151,47016.57073376055
316,nm0019247,3576548.9669305896,1464954.4568547697
317,nm0020491,19167913.491949037,1149684.320021447
318,nm0020728,11197490.883100495,251946.57915221073
319,nm0021249,33261654.00101039,1078396.6989140697
320,nm0191717,51456434.656689405,14511155.5537699
321,nm0820934,49441620.43904178,5052947.042496583
322,nm0023355,11832892.02294836,813150.1480906003
323,nm0024622,20805067.15006704,242192.88145785095
324,nm0025464,39746.5404632824,1398.4570689039463
325,nm0026442,19237435.418154165,3227506.092964229
326,nm0026862,209286.65287726355,5890.895574447895
327,nm0027271,196385889.77006915,16801366.618521262
328,nm0027459,9097253.274280503,976810.1324115925
329,nm2320658,71367007.27234954,14035724.04606744
330,nm0027572,2828859.832047944,307189.97456831357
331,nm0029242,23729.612764808684,1630.6865723455599
332,nm0030735,48980645.45056234,3812729.0300252005
333,nm0031078,14283692.504252683,1226959.843437713
334,nm0031342,6217.357536585366,36.70080105348469
335,nm0031976,140767113.87853462,14807416.768324329
336,nm0036349,32030.14557906253,2201.094843971082
337,nm0036496,6883183.153201351,739076.1633844494
338,nm1160495,19009348.486763112,1572379.899921037
339,nm0037708,39132406.3494125,12952771.59866307
340,nm0177170,25852733.909632925,372577.16096618096
341,nm0039192,4480549.595791291,2294041.393045142
342,nm0039468,114202.23963785048,1053.3297436219395
343,nm0569790,5189532.211483114,546012.7358807225
344,nm0040328,7804081.525905707,274581.7082190464
345,nm0040575,616498.9348139797,7107.748795142527
346,nm0041932,135437.97195936137,167.66408832810433
347,nm0043214,900417.4538492871,25344.498185209646
348,nm0043742,201354750.92565373,55882447.59761705
349,nm0049371,9254421.227197347,133370.265569074
350,nm0049633,284256858.9944314,75678938.01263413
351,nm0719208,402345370.2209759,99913869.83727923
352,nm0051470,10441.367371727749,235.11869102275796
353,nm0053190,120983.72074035452,3405.3889977759827
354,nm0047259,120983.72074035452,3405.3889977759827
355,nm0054954,23170.026825491364,170.96462201232987
356,nm0061982,1959318.4708657165,134643.34007707177
357,nm0063785,38660.25923466517,445.72244245320974
358,nm0064181,9628825.636818346,2019311.0941904874
359,nm0065284,38921339.608282864,496570.9211426732
360,nm0065608,31053153.646022927,1556953.87187552
361,nm0067457,91637287.02415784,9829133.398660528
362,nm0068587,56717836.31899153,13835225.658341102
363,nm0069166,22253.82034610665,1529.2708895614005
364,nm0071066,140510.8544132155,23573.80954835071
365,nm2756180,140510.8544132155,23573.80954835071
366,nm0421776,127568243.1965239,2187565.8464278425
367,nm1224299,227216669.5242257,49477886.881820574
368,nm0075010,34133647.36983343,314827.32866678364
369,nm0218450,34133647.36983343,314827.32866678364
370,nm0075528,29672843.914298445,7799661.393983797
371,nm0075666,19880062.122034483,183361.2090673089
372,nm0075696,5635649.492980146,3606815.675507294
373,nm0080120,25273149.045069613,1395141.0203546276
374,nm0081540,39665.2328848809,3407.2175605757457
375,nm0082300,7740737.380275997,272352.9842295616
376,nm0082450,191876965.43370765,51571256.68754241
377,nm0082526,41488197.27667606,2851047.2075731205
378,nm0082802,16738122.105323143,1883181.6738576205
379,nm0082835,7139.0652930072265,392.47426505567637
380,nm0083348,215674284.04267135,15951150.759556785
381,nm0684342,59042006.02293234,2596694.8859773916
382,nm0084312,4551173.449136757,2912751.0074475254
383,nm0086690,18174158.58494743,261917.2282590132
384,nm0086826,1083160.532614841,9990.392567944462
385,nm0087595,31729466.621827148,271220.0703417838
386,nm0088955,93396359.67283925,12580397.111275667
387,nm0090066,14550397.255608147,262116.65463379843
388,nm0090386,99652195.43254039,28536061.11026424
389,nm0091076,8211455.863696673,1693908.903820195
390,nm0093051,13790845.088339403,309375.0778608195
391,nm0093271,3743611.442459893,27622.976876187353
392,nm0094435,399688.4649926558,255800.61759529976
393,nm0097079,20134203.132056307,2702366.999475083
394,nm0097517,625236.6722847495,42965.93695556592
395,nm0101047,84558585.4442419,9750383.703371985
396,nm0101385,40268992.735897526,821599.5768566304
397,nm0101508,21044727.56743976,592356.4201927212
398,nm0661910,47606774.367230944,837348.0598875433
399,nm0102929,27010.247832699617,102.04183124731466
400,nm0103187,16221454.032325462,2177206.705075163
401,nm0103744,1631390.443723583,175169.21506999302
402,nm0103785,13042491.311053954,5234687.8903204305
403,nm0106230,36208683.48326546,696663.8938876811
404,nm0106924,42126.41312778375,1852.7392428197522
405,nm0107366,6838039.793239249,469906.5164913471
406,nm0108094,44581154.365136445,3056557.1200167397
407,nm0108132,16157796.150105733,492972.0397840055
408,nm0109165,24852.784424666243,93.89116493842303
409,nm0109359,102306164.42740548,2337774.263396464
410,nm0111303,27069.226965517242,249.6695510530273
411,nm0112498,3396095.406111424,39154.314254023884
412,nm0113477,16313909.520664666,10440902.093225388
413,nm0114197,11327310.433224902,130594.99787822504
414,nm0116497,9574315.145952525,70645.97647137102
415,nm0118333,186613660.5444308,85229549.37894616
416,nm0510674,126599996.9540884,2558139.296870695
417,nm0121800,15826.067378746593,285.09708459865436
418,nm0122653,358062.84528662055,1286.6011033396649
419,nm0123236,4311942.526646884,5337.926300833555
420,nm0123379,8244785.285814347,708221.663302293
421,nm0125111,7339435.20211188,34659.50280164679
422,nm0125803,212559880.02626374,14092088.329548411
423,nm0268380,218351584.63215023,15178252.48978397
424,nm0127373,2213502.475314607,25519.946042907
425,nm0128225,13880603.025051739,218407.85960366367
