,distributor,mpaa,budget,opening_revenue,opening_theaters,runtime_minutes,release_year,release_month,release_date,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news,director_power,actor_power
1498,Main Street Movie Company,PG-13,1059036.4372469634,56024.351325910924,35,128,2005,11,2005-11-04,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268921.12251012144,268921.12251012144
1499,Walt Disney Studios Motion Pictures,G,198569331.98380566,53017717.757064775,3654,81,2005,11,2005-11-04,4,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,313476996.7814352,363205811.9984721
1500,Slowhand Cinema Releasing,PG,3971386.639676113,72702.85141700404,25,96,2005,11,2005-11-04,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,369636.8114878542,65727309.03271895
1501,Paramount Pictures,R,52951821.86234818,15913090.7726417,1652,117,2005,11,2005-11-09,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,41018270.98615384,73860308.74785861
1502,Artistic License,PG-13,3971386.639676113,10092.617246963562,2,107,2005,11,2005-11-11,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,35615.39538461538,35615.39538461538
1503,The Weinstein Company,R,29123502.024291497,16166172.681437247,2443,108,2005,11,2005-11-11,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47688511.377692305,289142220.5932027
1504,Fox Searchlight Pictures,PG-13,18533137.65182186,159575.61036437246,21,104,2005,11,2005-11-11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14565448.230659429,317954722.21038765
1505,Sony Pictures Entertainment (SPE),PG,86046710.52631578,17775757.153360322,3223,101,2005,11,2005-11-11,4,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,284575205.65827626,314732478.35898286
1506,Twentieth Century Fox,PG-13,37066275.30364372,29583310.49322874,2961,136,2005,11,2005-11-18,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,350369597.24199426,590061805.8339332
1507,Warner Bros.,PG-13,198569331.98380566,135935217.86590078,3858,157,2005,11,2005-11-18,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,581889794.6519785,1222154240.2647667
1508,Warner Bros.,R,66189777.32793522,495764.0797773279,5,128,2005,11,2005-11-23,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82759446.28724723,451992219.9521776
1509,Revolution Studios,PG-13,52951821.86234818,13259163.99403846,2433,135,2005,11,2005-11-23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2072649038.8265018,507879871.1165986
1510,Paramount Pictures,PG,59570799.595141694,23114937.008380566,3206,88,2005,11,2005-11-23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,609370485.2633661,497884445.5391681
1511,Cineville,UNRATED,992846.6599190283,12899.063805668015,1,108,2005,11,2005-11-25,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2901305.9577357015,37714048.99510341
1512,Paramount Pictures,PG-13,82408963.41463414,16828856.70317073,2608,93,2005,12,2005-12-02,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34391569.213079266,247342141.47847894
1513,Sony Pictures Entertainment (SPE),PG-13,112980030.48780487,907168.5026829268,8,145,2005,12,2005-12-09,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,323229768.29221797,447321806.9251382
1514,Walt Disney Studios Motion Pictures,PG,239251829.26829267,87135930.92268293,3616,143,2005,12,2005-12-09,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1392097986.2438872,583542610.4055216
1515,Focus Features,R,18608475.609756097,727624.6257621951,5,134,2005,12,2005-12-09,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,504654477.56593025,292797525.4937823
1516,Universal Pictures,PG-13,275139603.65853655,66631827.181859754,3568,187,2005,12,2005-12-14,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1785553258.7862127,443997511.74034804
1517,Sony Pictures Classics,R,19937652.43902439,31712.829969512193,5,121,2005,12,2005-12-14,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6682681.077682926,301115237.2096826
1518,Twentieth Century Fox,PG-13,23925182.926829267,16642658.967042683,2466,103,2005,12,2005-12-16,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,79834172.445,400673675.6303515
1519,Universal Pictures,PG-13,59812957.31707317,205477.44603658534,6,134,2005,12,2005-12-16,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,25784079.25621951,502423522.058852
1520,Sony Pictures Entertainment (SPE),PG-13,132917682.92682926,19118234.861432925,3056,90,2005,12,2005-12-21,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,274648799.4142693,958110108.3206937
1521,Universal Pictures,R,93042378.04878049,5519087.781097561,532,164,2005,12,2005-12-23,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6700542240.270429,872461571.6640644
1522,DreamWorks Distribution,R,19937652.43902439,529800.5799085365,8,124,2005,12,2005-12-28,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,127543720.2504942,84432337.44812334
1523,The Weinstein Company,R,16614710.365853658,91846.11890243902,4,96,2005,12,2005-12-30,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16740580.753231706,563746737.3716954
1524,Romar Entertainment,R,32978063.54009077,2044639.9394856277,985,95,2006,1,2006-01-06,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24769113.961092778,169604349.43414825
1525,Lionsgate,R,6331788.199697427,25796891.016732223,2195,94,2006,1,2006-01-06,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92313872.71291289,129905412.43004473
1526,Gorilla Factory Productions,UNRATED,85742.965204236,9907.92940998487,1,81,2006,1,2006-01-13,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,73076.75055975793,3415482.722155869
1527,Paramount Pictures,PG-13,59360514.372163385,16892931.26281392,2514,112,2006,1,2006-01-13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,260138373.61478588,400538981.57873106
1528,Rocky Mountain Pictures,PG-13,13191225.416036308,6215705.416036308,1163,108,2006,1,2006-01-20,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15785939.45537065,15785939.45537065
1529,Silver Nitrate,R,3957367.624810892,126003.90429652041,35,97,2006,1,2006-01-20,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361762.76142208773,79293927.47654077
1530,Universal Pictures,PG,32978063.54009077,19132091.6505295,1995,97,2006,1,2006-01-27,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,62188858.204841144,334621653.2652551
1531,Magnolia Pictures,R,2110596.0665658093,93214.47527987896,32,73,2006,1,2006-01-27,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,666414467.884543,798366.0935435151
1532,IFC Films,UNRATED,18731540.090771556,19941.175461422084,2,139,2006,1,2006-01-27,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246416.773823013,371097733.1452148
1533,Twentieth Century Fox,PG-13,52764901.66414523,36587256.684780635,3261,99,2006,1,2006-01-27,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191082672.29936224,417892138.6574101
1534,City Lights Pictures,R,4607634.625062909,38384.22936084549,14,98,2006,2,2006-02-03,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272338.85214896826,10748467.191667112
1535,Screen Gems,PG-13,19747005.535983894,28445170.48387519,2999,87,2006,2,2006-02-03,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582421077.0387481,342626430.6000526
1536,TLA Releasing,UNRATED,329116.75893306494,1852.2691192752893,1,95,2006,2,2006-02-03,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589.490659285355,2589.490659285355
1537,Sony Pictures Entertainment (SPE),PG,105317362.85858077,26619505.846925013,3477,93,2006,2,2006-02-10,4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,456939313.5531775,630547351.2646168
1538,New Line Cinema,R,32911675.89330649,26493899.094111726,2880,93,2006,2,2006-02-10,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,152704679.8958369,267680875.96191955
1539,Universal Pictures,G,65823351.78661298,19356547.995520886,2566,87,2006,2,2006-02-10,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,76830016.72028182,776116371.1840541
1540,Walt Disney Studios Motion Pictures,PG,52658681.429290384,26577068.215561148,3066,120,2006,2,2006-02-17,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107440251.52405636,547471304.8865867
1541,Twentieth Century Fox,PG-13,26329340.714645192,25113268.77152491,2896,83,2006,2,2006-02-17,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,63912402.46568696,230685206.14046487
1542,Lionsgate,PG-13,7898802.214393558,39534375.267750375,2194,107,2006,2,2006-02-24,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,83356059.76849522,136644414.8704685
1543,New Line Cinema,R,19747005.535983894,4048136.1348766983,1611,122,2006,2,2006-02-24,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024561.885928536,231003314.83489665
1544,Regent Releasing,UNRATED,2632934.0714645195,26.32934071464519,1,90,2006,2,2006-02-25,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.49401107196779,91849635.54150249
1545,Rogue Pictures,R,3927657.6576576573,8530872.432432432,1200,103,2006,3,2006-03-03,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63359816.712905794,53391604.65324888
1546,Twentieth Century Fox,PG,15710630.63063063,9796454.065855855,2512,110,2006,3,2006-03-03,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,24347997.57279279,114697138.14890182
1547,Screen Gems,PG-13,39276576.576576576,11867915.115915915,2558,88,2006,3,2006-03-03,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24267441.314234234,64214235.19392274
1548,Paramount Pictures,PG-13,65460960.960960954,31959771.928948946,3057,97,2006,3,2006-03-10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,258706595.30256215,762724304.4132204
1549,Fox Searchlight Pictures,R,19638288.288288288,20565885.815735735,2620,107,2006,3,2006-03-10,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54697690.39672672,158701081.8322013
1550,Warner Bros.,R,70697837.83783783,33571444.35375375,3365,132,2006,3,2006-03-17,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92314402.18903904,845469451.5570655
1551,Halestorm Entertainment,PG,1309219.2192192192,189019.833993994,40,91,2006,3,2006-03-17,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,896793.6026356702,16522837.023000509
1552,Yari Film Group Releasing,R,17019849.84984985,822189.6696696696,439,125,2006,3,2006-03-17,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8577804.765128419,135533059.9627695
1553,DreamWorks,PG-13,26184384.384384383,14048409.25177177,2623,105,2006,3,2006-03-17,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,44174539.80183183,287469658.3026007
1554,Fox Searchlight Pictures,R,8509924.924924925,344223.84477477474,5,92,2006,3,2006-03-17,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32460138.49468468,206139495.40576276
1555,Universal Pictures,R,58914864.86486486,37908370.48543543,2818,129,2006,3,2006-03-24,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,285348068.1853832,781038228.4028507
1556,Twentieth Century Fox,PG,104737537.53753753,89070823.35639639,3964,91,2006,3,2006-03-31,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,687268862.8111743,706481145.0133479
1557,Warner Bros.,PG-13,26184384.384384383,15127247.783423422,1602,105,2006,3,2006-03-31,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,27716907.96129129,104627805.57773685
1558,Universal Pictures,R,19638288.288288288,5080124.059759759,1945,95,2006,3,2006-03-31,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10215117.496996997,99912914.93654285
1559,Revolution Studios,PG-13,42839732.00992556,25517459.110064514,3274,85,2006,4,2006-04-07,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,429420403.2633749,705143963.029789
1560,Fox Searchlight Pictures,PG-13,3894521.0918114143,4037221.5373101733,1060,99,2006,4,2006-04-07,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9166570.64266005,42633428.3611984
1561,Sony Pictures Classics,R,8438129.032258064,826936.6451612903,28,88,2006,4,2006-04-07,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17354553.287017368,289982471.068561
1562,Dimension Films,PG-13,58417816.37717121,52216278.35359801,3602,83,2006,4,2006-04-14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,462535157.1239092,542643090.8334848
1563,Walt Disney Studios Motion Pictures,G,103853895.78163771,12572564.306888336,2854,95,2006,4,2006-04-14,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,48530985.21474937,88282914.19981472
1564,"Millennium Films, Inc.",PG-13,15578084.367245657,25457.186203473942,5,94,2006,4,2006-04-14,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,46742.04214392059,174629847.7457136
1565,Sony Pictures Entertainment (SPE),R,64908684.86352357,26161572.655265506,2926,125,2006,4,2006-04-21,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77623115.85927224,258484336.1302185
1566,Universal Pictures,PG-13,22068952.853598014,4760948.180843672,1500,107,2006,4,2006-04-21,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,325988545.3708552,442813457.24533296
1567,Universal Pictures,R,19472605.45905707,14900905.039801488,1795,111,2006,4,2006-04-28,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,284280276.0803648,231154611.541155
1568,Lionsgate,PG,10385389.578163771,7804081.525905707,2195,112,2006,4,2006-04-28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24468536.060843673,243946929.17132124
1569,Five & Two Pictures,PG,519269.4789081885,20660.434392059553,6,85,2006,4,2006-04-28,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145175.1041303403,909004.6529665238
1570,Magnolia Pictures,R,12462467.493796526,233671.26550868485,18,144,2006,4,2006-04-28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3224904.924327543,175494556.42796427
1571,Sony Pictures Entertainment (SPE),PG,64908684.86352357,21309218.766223323,3639,99,2006,4,2006-04-28,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1203416073.2416954,920815801.9177109
1572,Freestyle Releasing,PG-13,18084681.48148148,8241447.703703704,1675,83,2006,5,2006-05-05,4,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44192650.677328736,174497547.40128782
1573,New Line Cinema,PG,19376444.444444444,4391994.074074075,3018,95,2006,5,2006-05-05,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10486062.823377779,309417670.8186609
1574,Paramount Pictures,PG-13,193764444.44444445,61672991.792029634,4054,126,2006,5,2006-05-05,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173134732.8650963,1122289804.5849414
1575,Warner Bros.,PG-13,206682074.0740741,28619538.06725926,3555,98,2006,5,2006-05-12,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007193680.2125826,577582155.2230837
1576,Lionsgate,R,10334103.703703703,5917867.114103704,1257,84,2006,5,2006-05-19,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19418814.26962963,39049293.9561084
1577,Sony Pictures Entertainment (SPE),PG-13,161470370.3703704,99560548.04847407,3735,149,2006,5,2006-05-19,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1153212355.223345,1748244751.6490805
1578,Twentieth Century Fox,PG-13,271270222.2222222,132729503.46681482,3690,104,2006,5,2006-05-26,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148926837.9599335,1077143119.7333145
1579,Universal Pictures,PG-13,67039250.86249383,50502195.39610645,3070,106,2006,6,2006-06-02,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,256545289.96169084,550968257.1917044
1580,Twentieth Century Fox,R,32230409.06850665,20661620.880591422,2723,110,2006,6,2006-06-06,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,186065694.9340912,251156141.77630126
1581,Walt Disney Studios Motion Pictures,G,154705963.52883193,77507054.72271068,3985,117,2006,6,2006-06-09,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,635567757.0655271,768856941.2054374
1582,Argot Pictures,UNRATED,64460.818137013295,2979.3790142927546,1,98,2006,6,2006-06-15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049.8604928536215,5049.8604928536215
1583,Paramount Pictures,PG,45122572.69590931,36497198.25341547,3070,92,2006,6,2006-06-16,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,164811185.56406015,439994849.4697067
1584,Warner Bros.,PG,51568654.50961064,17554222.68147856,2645,99,2006,6,2006-06-16,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67464835.36521438,670985120.5938367
1585,First Independent Pictures,R,644608.181370133,51197.36019714144,8,88,2006,6,2006-06-23,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,95650563.20957449,33632842.981164694
1586,Revolution Studios,PG-13,106360349.92607194,51583306.45357318,3749,107,2006,6,2006-06-23,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,597420787.6386912,1146481614.8317835
1587,Warner Bros.,PG-13,348088417.9398718,67729105.3813307,4065,154,2006,6,2006-06-28,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842412724.9777315,475753679.1216591
1588,Adlabs Films,UNRATED,13150006.899950713,477352.9857663873,58,185,2006,6,2006-06-30,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844508.923716116,1844508.923716116
1589,Twentieth Century Fox,PG-13,45122572.69590931,35501465.549571216,2847,109,2006,6,2006-06-30,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160817442.12774763,480034718.9927632
1590,Walt Disney Studios Motion Pictures,PG-13,289218427.5184275,174346721.88908106,4133,151,2006,7,2006-07-07,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380909937.8317351,1816920769.7061305
1591,Universal Pictures,PG-13,69412422.6044226,27669282.73179361,3131,110,2006,7,2006-07-14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,97213524.66840294,536547531.5658326
1592,Cyan Pictures,R,6427076.167076167,78465.60209336609,14,88,2006,7,2006-07-14,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,538189.2186633906,307669980.7009926
1593,Revolution Studios,PG-13,82266574.93857494,27781905.67288452,2533,98,2006,7,2006-07-14,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,515837200.53331596,358068174.11273646
1594,First Independent Pictures,R,7712491.4004914,28058.043714987714,7,91,2006,7,2006-07-14,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63029.05055528255,525526931.9274843
1595,Warner Bros.,PG-13,89979066.33906633,23194541.496176902,3235,110,2006,7,2006-07-21,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1144747562.0044146,568182769.439019
1596,MGM/Weinstein,R,6427076.167076167,12932732.338201473,2150,97,2006,7,2006-07-21,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163803475.43415165,115840120.42945518
1597,Sony Pictures Entertainment (SPE),PG,96406142.5061425,28558360.744628992,3553,91,2006,7,2006-07-21,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,94684984.36275184,478479824.92749876
1598,Fox Searchlight Pictures,R,10283321.867321867,476886.48076658475,7,101,2006,7,2006-07-26,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76984929.71516462,443721825.28803045
1599,Twentieth Century Fox,PG-13,23137474.2014742,18351274.283970516,2560,89,2006,7,2006-07-28,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,225308073.71123776,133025632.34461084
1600,Universal Pictures,R,173531056.5110565,33065783.66255528,3021,132,2006,7,2006-07-28,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492142492.9737663,268974262.3218992
1601,Warner Bros.,PG,64270761.67076167,10839218.966240786,3050,88,2006,7,2006-07-28,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,155990697.40658355,1544179919.6389618
1602,Sony Pictures Entertainment (SPE),PG-13,93009784.20794508,60350155.39053458,3803,108,2006,8,2006-08-04,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,307934411.90844685,459200161.1321946
1603,Paramount Pictures,PG,65427572.33938205,20296484.7810103,3311,90,2006,8,2006-08-04,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,189368438.7683159,472761176.8980661
1604,Paramount Pictures,PG-13,83388082.39333007,24029574.229936242,2957,129,2006,8,2006-08-09,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,704577177.186372,627053707.9473195
1605,Fabrication Films,R,577302.1088769004,84872.39025993134,13,84,2006,8,2006-08-11,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,486752.91454634623,113168146.79027338
1606,Dimension Films,PG-13,26299318.29328102,10524630.536557136,2323,90,2006,8,2006-08-11,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25997114.75111329,42945808.04540109
1607,Walt Disney Studios Motion Pictures,PG-13,15394722.903384011,26504033.469769496,2467,104,2006,8,2006-08-11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,83809026.71614517,116414752.85185696
1608,Yari Film Group Releasing,PG-13,21167743.992153015,1190468.7905443844,51,110,2006,8,2006-08-18,4,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,51147224.67701814,272979786.8812896
1609,THINKFilm,R,10263148.602256007,26650.83113290829,6,107,2006,8,2006-08-18,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70176.84435507601,143878082.14808592
1610,Universal Pictures,PG-13,29506552.231486022,12859513.521186857,2914,93,2006,8,2006-08-18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46599191.19622364,125884622.0808929
1611,New Line Cinema,R,42335487.98430603,17768076.017655715,3555,105,2006,8,2006-08-18,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87729185.48023963,498182571.1154697
1612,Lionsgate,R,15470596.352883192,13481808.647580087,2515,88,2006,9,2006-09-01,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35889731.10623952,176011170.06212276
1613,Sony Pictures Entertainment (SPE),PG-13,7477454.9038935425,4857209.024120255,1023,95,2006,9,2006-09-01,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9036978.682976834,17700338.405017734
1614,Warner Bros.,PG-13,51568654.50961064,12389632.246071955,2784,102,2006,9,2006-09-01,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68393464.78266355,275059431.0455423
1615,DreamWorks,R,25784327.25480532,5966479.145381961,1357,115,2006,9,2006-09-15,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55566793.16338793,167504230.9011393
1616,Universal Pictures,R,64460818.1370133,12899763.557861013,2226,121,2006,9,2006-09-15,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,610360992.3208494,236527206.3707482
1617,Sony Pictures Entertainment (SPE),PG-13,38676490.88220798,18583576.85884672,3504,125,2006,9,2006-09-15,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,49548224.277900435,456634960.48646873
1618,Sony Pictures Entertainment (SPE),PG-13,70906899.95071463,4734474.33717102,1514,128,2006,9,2006-09-22,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99818321.08393396,837833602.1935792
1619,Paramount Pictures,R,14825988.171513058,37389855.53062592,3059,92,2006,9,2006-09-22,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,186535906.94090164,233207271.69113824
1620,Miramax,R,23205894.52932479,13923.536717594872,2,105,2006,9,2006-09-22,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91075.40072942335,149892886.8506794
